Fout	Lin	Lout	sono
1.1339018	0.88697851	5.281518	9.9684963
1.1276647	0.87699145	5.2823586	9.9479265
1.1261054	0.89922065	5.2823586	9.960269
1.1339018	0.88923365	5.2823586	9.9520407
1.1292239	0.88536769	5.2848811	9.960269
1.1323426	0.87699145	5.2823586	9.9396982
1.1198685	0.89277744	5.2840405	9.9890671
1.1198685	0.90437526	5.2831993	9.9643831
1.1385796	0.89309961	5.2848811	9.9684963
1.1276647	0.89922065	5.2840405	9.9643831
1.1292239	0.89374393	5.2823586	9.9355841
1.1229869	0.88987797	5.2831993	9.9561548
1.1370203	0.88891149	5.2840405	9.9849529
1.1307833	0.88279039	5.2840405	9.9479265
1.1385796	0.88021308	5.2831993	9.9396982
1.1323426	0.88343471	5.2831993	9.960269
1.1292239	0.88343471	5.2848811	9.9808388
1.1323426	0.87505847	5.2831993	9.960269
1.1292239	0.87473631	5.2840405	9.9273567
1.1370203	0.8695817	5.2831993	9.9396982
1.1370203	0.87248117	5.2831993	9.9561548
1.1245462	0.87151468	5.2848811	9.9520407
1.1245462	0.86700439	5.2823586	9.9438124
1.1292239	0.87151468	5.2840405	9.9438124
1.1323426	0.8818239	5.2823586	9.9643831
1.1354611	0.88279039	5.2840405	9.9520407
1.1307833	0.87505847	5.2831993	9.9232426
1.1261054	0.88568985	5.2848811	9.960269
1.1292239	0.89438826	5.2848811	9.9355841
1.1261054	0.90405309	5.2831993	9.9972944
1.1292239	0.88021308	5.2831993	9.9479265
1.1354611	0.87441415	5.2848811	9.9520407
1.1292239	0.8695817	5.2831993	9.9520407
1.1276647	0.88279039	5.2823586	9.9890671
1.1276647	0.87409198	5.2831993	9.960269
1.1292239	0.8818239	5.2840405	9.9520407
1.1354611	0.87924659	5.2831993	9.9479265
1.1385796	0.87924659	5.2848811	9.9314709
1.1307833	0.86990386	5.2831993	9.9232426
1.1354611	0.8757028	5.2823586	9.9520407
1.1339018	0.88150173	5.2831993	9.9520407
1.1276647	0.90340877	5.2831993	10.013751
1.1354611	0.9092077	5.2823586	9.9561548
1.1339018	0.89632124	5.2840405	9.9355841
1.1416981	0.88504553	5.2848811	9.9191284
1.1307833	0.88021308	5.2831993	9.9355841
1.1229869	0.87956876	5.2831993	9.9561548
1.1276647	0.89245528	5.2823586	9.9808388
1.1292239	0.88826716	5.2831993	9.9396982
1.1292239	0.88407904	5.2823586	9.960269
1.1354611	0.87183684	5.2840405	9.9438124
1.1292239	0.86764872	5.2823586	9.9314709
1.1307833	0.8695817	5.2840405	9.9438124
1.1323426	0.872159	5.2840405	9.9273567
1.1339018	0.88472337	5.2823586	9.9849529
1.1339018	0.87183684	5.2840405	9.906786
1.1416981	0.87183684	5.2840405	9.9479265
1.1401389	0.90018713	5.2831993	9.9972944
1.1339018	0.89503258	5.2823586	9.9808388
1.1339018	0.89793199	5.2831993	9.9561548
1.1323426	0.90018713	5.2831993	9.9561548
1.1261054	0.88955581	5.2840405	9.9438124
1.1370203	0.88923365	5.2840405	9.9396982
1.1323426	0.88697851	5.2840405	9.9355841
1.1292239	0.88955581	5.2848811	9.9438124
1.1276647	0.89438826	5.2823586	9.9726105
1.1261054	0.89889848	5.2840405	9.9972944
1.1354611	0.8905223	5.2840405	9.9684963
1.1354611	0.8757028	5.2840405	9.9396982
1.1339018	0.87989092	5.2840405	9.9479265
1.1261054	0.8573395	5.2857218	9.9232426
1.1292239	0.85637301	5.2857218	9.9232426
1.1370203	0.87087035	5.2806773	9.9273567
1.1292239	0.87763578	5.2831993	9.9767246
1.1354611	0.88214606	5.2848811	9.9726105
1.1229869	0.88407904	5.2831993	9.9520407
1.1307833	0.89793199	5.2848811	9.9643831
1.1339018	0.90018713	5.2831993	9.9561548
1.1323426	0.88955581	5.2840405	9.9479265
1.1323426	0.9005093	5.2840405	9.9643831
1.1292239	0.89116663	5.2840405	9.9314709
1.1323426	0.88923365	5.2840405	9.9438124
1.1261054	0.8782801	5.2840405	9.9479265
1.1261054	0.88246822	5.2840405	9.9808388
1.1323426	0.87763578	5.2831993	9.9726105
1.1276647	0.87280333	5.281518	9.9684963
1.1292239	0.87860227	5.2848811	9.9561548
1.1292239	0.8757028	5.2840405	9.9438124
1.1292239	0.88665634	5.2848811	9.9643831
1.1292239	0.88375688	5.2831993	9.9520407
1.1261054	0.88117957	5.2831993	9.9314709
1.1354611	0.88343471	5.2840405	9.9767246
1.1354611	0.87248117	5.2831993	9.9355841
1.1276647	0.87924659	5.2831993	9.9767246
1.1276647	0.87795794	5.2823586	9.960269
1.1292239	0.87183684	5.2831993	9.9355841
1.1339018	0.89309961	5.2831993	9.960269
1.1245462	0.89374393	5.2831993	9.9643831
1.1323426	0.88407904	5.2857218	9.9355841
1.1323426	0.88021308	5.2831993	9.9396982
1.1245462	0.87505847	5.2823586	9.9479265
1.1307833	0.88279039	5.2831993	9.9561548
1.1323426	0.87409198	5.2831993	9.9438124
1.1354611	0.86507142	5.2857218	9.9232426
1.1323426	0.86829305	5.2840405	9.9684963
1.1261054	0.88214606	5.2840405	9.9561548
1.1292239	0.88601202	5.2857218	9.9520407
1.1370203	0.87634712	5.2831993	9.9479265
1.1385796	0.87731361	5.2831993	9.9520407
1.1276647	0.88246822	5.281518	9.9849529
1.1276647	0.872159	5.2840405	9.9438124
1.1276647	0.8818239	5.2823586	9.960269
1.1292239	0.86990386	5.2840405	9.9479265
1.1354611	0.86700439	5.2823586	9.9355841
1.1385796	0.86700439	5.2848811	9.9355841
1.1261054	0.87312549	5.2840405	9.9479265
1.1292239	0.86056113	5.2823586	9.9684963
1.1370203	0.8608833	5.2865624	9.9396982
1.1292239	0.85411787	5.2831993	9.9479265
1.1401389	0.85540652	5.2831993	9.9355841
1.1307833	0.86636007	5.2806773	9.9726105
1.1323426	0.87763578	5.2831993	9.9561548
1.1292239	0.8818239	5.2840405	9.9520407
1.1354611	0.88601202	5.2840405	9.9355841
1.1229869	0.88214606	5.2831993	9.9726105
1.1416981	0.87151468	5.2831993	9.9314709
1.1245462	0.87183684	5.2831993	9.960269
1.1276647	0.87666929	5.2831993	9.9438124
1.1323426	0.87473631	5.2848811	9.9438124
1.1416981	0.87602496	5.2848811	9.960269
1.1339018	0.88697851	5.2840405	9.9479265
1.1370203	0.89567691	5.2848811	9.9726105
1.1307833	0.887945	5.2848811	9.9355841
1.1323426	0.87860227	5.2840405	9.9438124
1.1307833	0.88665634	5.2831993	9.9396982
1.1183091	0.87054819	5.2823586	9.9643831
1.1323426	0.85862815	5.2831993	9.9314709
1.1261054	0.86056113	5.2857218	9.9684963
1.1307833	0.88472337	5.2831993	9.9767246
1.1292239	0.88504553	5.2840405	9.9643831
1.1401389	0.87087035	5.2848811	9.9438124
1.1354611	0.88891149	5.2840405	9.9849529
1.1292239	0.8818239	5.2848811	9.9314709
1.1261054	0.90405309	5.2831993	9.9684963
1.1339018	0.89471042	5.2848811	9.960269
1.1339018	0.90501958	5.2831993	9.960269
1.1339018	0.89889848	5.2848811	9.9355841
1.1245462	0.88568985	5.2831993	9.9479265
1.1307833	0.88536769	5.2840405	9.9479265
1.1354611	0.86893737	5.2857218	9.9396982
1.1385796	0.86539358	5.2831993	9.9438124
1.1292239	0.86732656	5.2840405	9.9561548
1.1292239	0.86764872	5.2857218	9.9355841
1.1292239	0.86829305	5.2831993	9.9479265
1.1292239	0.87151468	5.2840405	9.9890671
1.1276647	0.87119251	5.2831993	9.9355841
1.1385796	0.88375688	5.2831993	9.9561548
1.1354611	0.8818239	5.2840405	9.960269
1.1276647	0.89309961	5.2840405	9.9726105
1.1261054	0.89438826	5.281518	9.9643831
1.1323426	0.9005093	5.2848811	9.960269
1.1307833	0.88697851	5.2848811	9.9232426
1.1292239	0.8818239	5.2840405	9.9684963
1.1323426	0.88407904	5.2840405	9.9479265
1.1307833	0.88375688	5.2857218	9.9396982
1.1323426	0.88053524	5.2840405	9.9396982
1.1292239	0.87699145	5.2840405	9.9931812
1.1370203	0.86764872	5.2857218	9.9396982
1.1261054	0.87989092	5.2831993	9.9561548
1.1323426	0.87634712	5.2831993	9.9232426
1.1261054	0.88279039	5.2823586	9.9643831
1.1354611	0.88858932	5.2823586	9.9643831
1.1261054	0.88665634	5.2831993	9.9520407
1.1292239	0.8844012	5.2831993	9.9438124
1.1307833	0.89889848	5.2848811	9.9890671
1.1370203	0.90695256	5.2840405	9.9643831
1.1323426	0.89309961	5.2840405	9.9438124
1.1323426	0.87666929	5.2831993	9.9273567
1.1292239	0.88697851	5.2848811	9.9396982
1.1214277	0.88021308	5.281518	9.9684963
1.1261054	0.88246822	5.2831993	9.9438124
1.1261054	0.87989092	5.2848811	9.9561548
1.1370203	0.89857632	5.2831993	9.9684963
1.1323426	0.88955581	5.2857218	9.960269
1.1307833	0.87248117	5.2831993	9.9520407
1.1307833	0.85959464	5.2840405	9.9273567
1.1292239	0.8695817	5.2823586	9.9561548
1.1292239	0.85669518	5.2831993	9.9355841
1.1245462	0.86636007	5.281518	9.9520407
1.1323426	0.87441415	5.2831993	9.960269
1.1261054	0.89116663	5.2848811	9.9808388
1.1261054	0.9030866	5.2823586	10.021979
1.1261054	0.89535475	5.2848811	9.9520407
1.1385796	0.89503258	5.2831993	9.9396982
1.1339018	0.89760983	5.2840405	9.9767246
1.1370203	0.88891149	5.2831993	9.9314709
1.1261054	0.88246822	5.2840405	9.9396982
1.1370203	0.88085741	5.2840405	9.9438124
1.1214277	0.88343471	5.2840405	9.9808388
1.1307833	0.8782801	5.2840405	9.9643831
1.1323426	0.87087035	5.2831993	9.9396982
1.1276647	0.87376982	5.2857218	9.9479265
1.1307833	0.87119251	5.2831993	9.9355841
1.1339018	0.86410493	5.2823586	9.9438124
1.1385796	0.86249411	5.2823586	9.9191284
1.1292239	0.87087035	5.2831993	9.9479265
1.1292239	0.87924659	5.2840405	9.9520407
1.1245462	0.88504553	5.2823586	9.9643831
1.1276647	0.88826716	5.2840405	9.960269
1.1370203	0.89825416	5.2840405	9.9643831
1.1339018	0.90695256	5.2840405	9.9561548
1.1261054	0.89954281	5.2840405	9.9643831
1.1416981	0.8782801	5.2840405	9.9438124
1.1339018	0.88762283	5.2840405	9.9520407
1.1292239	0.89148879	5.2831993	9.9726105
1.1276647	0.89438826	5.2823586	9.9849529
1.1307833	0.88730067	5.2840405	9.9931812
1.1276647	0.88085741	5.2831993	9.9684963
1.1276647	0.9030866	5.2831993	9.9931812
1.1354611	0.89277744	5.2857218	9.9561548
1.1292239	0.88858932	5.2831993	9.9479265
1.1354611	0.87022603	5.2840405	9.9150143
1.1339018	0.88472337	5.2823586	9.9438124
1.1339018	0.87280333	5.2840405	9.9396982
1.1385796	0.88021308	5.2831993	9.9684963
1.1323426	0.87602496	5.2840405	9.9561548
1.1339018	0.88730067	5.2831993	9.9520407
1.1307833	0.88858932	5.2840405	9.9643831
1.1339018	0.88504553	5.2831993	9.9479265
1.1245462	0.88053524	5.2831993	9.9684963
1.1354611	0.872159	5.2840405	9.9314709
1.1276647	0.88504553	5.2840405	9.960269
1.1385796	0.87602496	5.2848811	9.9479265
1.1401389	0.86152762	5.2831993	9.960269
1.1370203	0.86249411	5.2848811	9.960269
1.1183091	0.87344766	5.2823586	9.9684963
1.1261054	0.88858932	5.2840405	9.9808388
1.1339018	0.88021308	5.2831993	9.9767246
1.1339018	0.88987797	5.2857218	9.9643831
1.1261054	0.88085741	5.2848811	9.9808388
1.1276647	0.89599907	5.2840405	9.9767246
1.1261054	0.88117957	5.2848811	9.9808388
1.1292239	0.88021308	5.2831993	9.9684963
1.1370203	0.87924659	5.2840405	9.9643831
1.1261054	0.87924659	5.281518	9.9643831
1.1292239	0.89374393	5.2831993	9.9767246
1.1292239	0.87409198	5.2823586	9.9561548
1.1307833	0.88085741	5.2831993	9.9643831
1.1307833	0.8844012	5.2840405	9.9726105
1.1307833	0.88891149	5.2840405	9.9808388
1.1339018	0.90759689	5.2848811	10.009637
1.1354611	0.89084446	5.2840405	9.9726105
1.1354611	0.89342177	5.2823586	9.960269
1.1370203	0.8818239	5.2831993	9.9520407
1.1323426	0.87602496	5.2831993	9.9314709
1.1323426	0.86442709	5.2857218	9.960269
1.1339018	0.86442709	5.2840405	9.9643831
1.1307833	0.86797088	5.2823586	9.9808388
1.1292239	0.87989092	5.2823586	9.9643831
1.1292239	0.88826716	5.2823586	10.009637
1.1245462	0.89922065	5.2848811	9.9849529
1.1276647	0.90501958	5.281518	9.9890671
1.1370203	0.8905223	5.2857218	9.9684963
1.1292239	0.8905223	5.2840405	9.9643831
1.1354611	0.88246822	5.2831993	9.9643831
1.1245462	0.8966434	5.2823586	10.009637
1.1229869	0.89148879	5.2848811	10.005523
1.1307833	0.88858932	5.2823586	9.9684963
1.1339018	0.86893737	5.2831993	9.9479265
1.1307833	0.87441415	5.2848811	9.9726105
1.1354611	0.86217195	5.2848811	9.9438124
1.1339018	0.8634606	5.2831993	9.9191284
1.1292239	0.86636007	5.2840405	9.9479265
1.1339018	0.88214606	5.2840405	9.9520407
1.1323426	0.89084446	5.2840405	9.9931812
1.1261054	0.89181095	5.2831993	9.9561548
1.1354611	0.89245528	5.2840405	9.9684963
1.1261054	0.89471042	5.2823586	9.960269
1.1323426	0.90212011	5.2848811	9.960269
1.1323426	0.89020014	5.2823586	9.9479265
1.1307833	0.89696556	5.2840405	9.9684963
1.1339018	0.87989092	5.2848811	9.9438124
1.1276647	0.87731361	5.2857218	9.960269
1.1245462	0.86893737	5.2823586	9.9520407
1.1323426	0.85991681	5.2823586	9.9191284
1.1339018	0.87892443	5.2831993	9.9684963
1.1276647	0.87602496	5.2823586	9.9684963
1.1307833	0.87666929	5.2831993	9.9684963
1.1245462	0.86636007	5.2823586	9.9479265
1.1323426	0.88504553	5.2840405	9.9684963
1.1339018	0.87860227	5.2840405	9.960269
1.1354611	0.88923365	5.2840405	9.9808388
1.1292239	0.89760983	5.2840405	9.960269
1.1323426	0.89213312	5.2840405	9.9561548
1.1276647	0.89986497	5.2848811	9.9561548
1.1339018	0.89342177	5.2840405	9.9438124
1.1292239	0.8844012	5.2840405	9.9396982
1.1323426	0.8844012	5.2840405	9.960269
1.1261054	0.87892443	5.2831993	9.9767246
1.1339018	0.87731361	5.2823586	9.9684963
1.1323426	0.87795794	5.2823586	9.9808388
1.1370203	0.86668223	5.2831993	9.9314709
1.1323426	0.88987797	5.2857218	9.9726105
1.1385796	0.88826716	5.2848811	9.9643831
1.1261054	0.89374393	5.2840405	9.9479265
1.1370203	0.86474925	5.2831993	9.9438124
1.1339018	0.87602496	5.2831993	9.9396982
1.1370203	0.88633418	5.2831993	9.9520407
1.1276647	0.89084446	5.2831993	9.9643831
1.1276647	0.87119251	5.2831993	9.9314709
1.1323426	0.872159	5.2831993	9.9561548
1.1276647	0.88762283	5.2840405	9.9273567
1.1323426	0.89148879	5.2823586	9.9972944
1.1323426	0.89020014	5.2840405	9.9684963
1.1370203	0.87860227	5.2840405	9.9479265
1.1354611	0.88150173	5.2840405	9.9273567
1.1339018	0.87441415	5.2831993	9.9520407
1.1323426	0.87956876	5.2840405	9.9561548
1.1292239	0.88117957	5.2823586	9.9684963
1.1323426	0.8695817	5.2823586	9.9314709
1.1323426	0.86571574	5.2840405	9.960269
1.1323426	0.86184978	5.2840405	9.9479265
1.1292239	0.8512184	5.2823586	9.9273567
1.1292239	0.86539358	5.2840405	9.9643831
1.1292239	0.88053524	5.2831993	10.005523
1.1354611	0.87409198	5.2823586	9.9396982
1.1229869	0.8782801	5.2831993	9.9479265
1.1261054	0.88246822	5.2840405	9.9191284
1.1323426	0.87441415	5.2848811	9.9150143
1.1323426	0.86797088	5.2857218	9.9191284
1.1370203	0.86184978	5.2848811	9.9150143
1.1354611	0.87956876	5.2831993	9.9684963
1.1323426	0.87344766	5.2831993	9.9396982
1.1323426	0.87119251	5.2831993	9.9355841
1.1307833	0.87312549	5.2823586	9.9396982
1.1339018	0.88407904	5.2831993	9.9396982
1.1261054	0.88214606	5.2831993	9.9314709
1.1323426	0.88085741	5.2823586	9.9684963
1.1261054	0.88085741	5.2848811	9.9396982
1.1292239	0.88891149	5.2823586	9.9643831
1.1261054	0.89760983	5.2840405	9.9561548
1.1401389	0.89567691	5.2865624	9.9273567
1.1432574	0.89503258	5.2840405	9.9355841
1.1292239	0.8966434	5.2840405	9.9438124
1.1292239	0.88601202	5.281518	9.9479265
1.1370203	0.87473631	5.2831993	9.9314709
1.1307833	0.87087035	5.2831993	9.9191284
1.1385796	0.87376982	5.2840405	9.9314709
1.1339018	0.86152762	5.2840405	9.9355841
1.1354611	0.85766166	5.2840405	9.960269
1.1276647	0.8695817	5.2823586	9.9232426
1.1292239	0.88246822	5.2831993	9.9520407
1.1385796	0.88279039	5.281518	9.9520407
1.1292239	0.89181095	5.2823586	9.9767246
1.1339018	0.8844012	5.2831993	9.9191284
1.1292239	0.8818239	5.2840405	9.9438124
1.1339018	0.89696556	5.2840405	9.9808388
1.1323426	0.8818239	5.2831993	9.9684963
1.1323426	0.87699145	5.2823586	9.9479265
1.1448166	0.87860227	5.2840405	9.9396982
1.1323426	0.87248117	5.2831993	9.9438124
1.1354611	0.89116663	5.2857218	9.9561548
1.1292239	0.8695817	5.2840405	9.9355841
1.1229869	0.8844012	5.2823586	9.9561548
1.1416981	0.87989092	5.2823586	9.9273567
1.1214277	0.87763578	5.2840405	9.9726105
